station_id,state,latitude,longitude,elevation,t_max,t_min,t_dew_max,t_dew_min
690150,CA,34.300,-116.167,626,43.9,-2.2,23.0,2.3
690190,TX,32.433,-99.850,545,45.0,-16.7,24.0,4.5
690230,WA,48.350,-122.667,10,25.0,-5.0,19.0,6.2
699604,AZ,32.650,-114.617,65,50.6,3.3,28.0,1.5
722010,FL,24.550,-81.750,1,33.3,9.4,27.0,6.5
722015,FL,24.583,-81.683,7,33.3,12.0,29.0,4.1
722016,FL,24.733,-81.050,2,37.0,5.5,32.0,4.1
722020,FL,25.817,-80.300,11,35.6,5.0,25.6,7.2
722024,FL,25.900,-80.283,3,44.0,-17.8,30.0,2.6
722025,FL,26.067,-80.150,3,36.6,4.4,31.0,1.5
722026,FL,25.483,-80.383,5,34.2,2.2,27.3,0.0
722029,FL,25.650,-80.433,3,35.0,6.0,27.0,2.1
722030,FL,26.683,-80.100,6,33.9,-1.1,26.1,2.6
722038,FL,26.150,-81.767,3,33.9,3.0,26.7,0.0
722039,FL,26.200,-80.167,4,36.0,-13.9,27.0,2.6
722040,FL,28.117,-80.650,11,37.0,0.0,27.0,0.0
722045,FL,27.650,-80.417,7,35.0,0.0,26.0,0.0
722050,FL,28.433,-81.333,29,35.6,0.0,27.2,0.0
722053,FL,28.550,-81.333,33,35.5,0.0,26.6,0.0
722055,FL,29.167,-82.217,27,37.7,-12.4,31.3,1.1
722056,FL,29.183,-81.067,9,36.7,-5.6,26.1,3.4
722057,FL,28.783,-81.250,17,37.0,-0.2,26.0,1.4
722060,FL,30.500,-81.700,8,37.2,-7.2,29.4,2.1
722065,FL,30.233,-81.667,9,37.2,-2.0,27.2,0.0
722066,FL,30.400,-81.417,5,36.0,-1.1,29.0,5.7
722068,FL,30.333,-81.517,12,38.0,-2.0,27.0,1.5
722070,GA,32.117,-81.200,14,36.7,-6.7,26.1,0.0
722080,SC,32.900,-80.033,12,37.8,-5.6,26.7,4.1
722085,SC,32.483,-80.717,10,36.1,-4.0,27.8,0.2
722103,FL,27.483,-80.367,7,37.0,-12.3,27.0,7.2
722104,FL,27.767,-82.633,2,34.0,1.6,30.0,0.0
722106,FL,26.583,-81.867,5,36.7,0.0,29.0,2.6
722108,FL,26.533,-81.750,9,36.1,3.8,27.0,5.7
722110,FL,27.967,-82.533,6,34.4,-2.2,27.8,1.5
722115,FL,27.383,-82.550,10,34.0,-1.0,28.0,5.7
722116,FL,27.900,-82.683,3,35.0,-2.3,27.0,2.6
722119,FL,27.983,-82.017,43,36.1,-3.9,27.8,0.0
722135,GA,31.533,-82.500,63,39.0,-6.7,30.0,0.0
722136,GA,31.250,-81.467,8,37.2,-8.7,28.9,0.0
722137,GA,31.150,-81.383,4,35.6,-2.8,26.7,2.0
722140,FL,30.380,-84.370,21,37.8,-6.7,26.7,0.0
722146,FL,29.700,-82.283,41,36.3,-3.3,26.8,1.5
722160,GA,31.533,-84.183,58,36.2,-4.0,26.0,0.0
722166,GA,30.783,-83.283,61,40.0,-6.0,28.0,5.1
722170,GA,32.683,-83.650,108,39.4,-9.4,26.7,3.1
722175,GA,32.633,-83.600,92,36.7,-11.2,26.1,1.3
722180,GA,33.367,-81.967,40,37.8,-7.2,25.6,0.0
722190,GA,33.633,-84.433,308,36.7,-12.8,23.9,5.2
722195,GA,33.767,-84.517,263,38.1,-11.0,24.4,0.0
722196,GA,33.867,-84.300,313,39.0,-15.4,36.6,0.0
722210,FL,30.483,-86.517,20,37.2,-9.5,29.4,2.1
722215,FL,30.783,-86.517,58,36.0,-9.0,26.0,1.8
722223,FL,30.483,-87.183,34,35.6,-5.0,27.8,3.1
722225,FL,30.350,-87.317,10,36.1,-3.0,29.4,3.7
722226,FL,30.717,-87.017,54,37.2,-9.1,28.0,0.0
722230,AL,30.683,-88.250,66,35.0,-6.7,26.1,5.2
722235,AL,30.633,-88.067,8,36.6,-7.0,27.0,0.0
722245,FL,30.200,-85.683,6,37.0,-4.9,29.0,3.2
722250,GA,32.350,-85.000,88,35.0,-13.4,26.1,2.1
722255,GA,32.517,-84.950,120,39.4,-8.9,25.0,2.8
722260,AL,32.300,-86.400,62,39.4,-7.2,26.1,5.7
722265,AL,32.383,-86.350,53,36.7,-10.6,26.1,0.0
722267,AL,31.867,-86.017,120,36.0,-10.3,25.0,0.8
722268,AL,31.233,-85.433,98,37.0,-10.0,27.0,1.5
722269,AL,31.267,-85.717,91,35.0,-11.7,26.1,2.5
722270,GA,33.917,-84.517,330,33.9,-16.2,25.0,2.5
722280,AL,33.567,-86.750,189,35.0,-12.2,26.0,5.2
722284,AL,32.616,-85.433,236,31.6,-13.4,23.8,0.0
722285,AL,33.967,-86.083,173,35.3,-9.0,27.0,0.0
722286,AL,33.217,-87.617,51,37.0,-9.0,26.0,2.6
722287,AL,33.583,-85.850,186,35.0,-6.6,25.5,0.0
722310,LA,30.000,-90.250,1,36.1,-3.3,26.7,2.6
722314,LA,30.033,-91.883,8,39.0,-5.0,27.0,2.6
722315,LA,30.050,-90.033,3,40.0,-1.0,27.0,4.1
722316,LA,29.817,-90.017,2,36.0,0.6,28.0,1.5
722317,LA,30.533,-91.150,20,40.0,-6.1,26.7,2.6
722329,LA,29.717,-91.333,3,36.1,-1.0,27.8,0.0
722340,MS,32.333,-88.750,90,38.9,-8.3,27.2,3.1
722345,MS,32.550,-88.567,83,39.2,-7.0,28.3,3.3
722348,MS,31.467,-89.333,93,39.0,-7.8,25.1,4.1
722350,MS,32.317,-90.083,94,38.3,-9.4,26.1,4.6
722356,MS,33.483,-90.983,42,39.0,-7.0,27.6,4.7
722357,MS,31.617,-91.300,83,35.2,-6.0,27.0,4.1
722358,MS,31.233,-90.467,126,35.6,-7.8,26.1,3.1
722359,MS,33.500,-90.083,47,38.9,-9.5,30.0,2.6
722390,LA,31.050,-93.183,102,35.0,-10.0,26.1,5.7
722400,LA,30.117,-93.233,5,36.7,-5.6,26.7,1.5
722404,LA,30.217,-93.167,5,38.0,-4.7,29.4,3.8
722405,LA,30.200,-91.983,12,39.5,-3.4,27.6,3.6
722406,LA,29.567,-90.667,3,35.5,-9.1,26.1,1.3
722410,TX,29.950,-94.017,5,36.7,-3.3,30.0,2.6
722420,TX,29.300,-94.800,16,34.0,2.0,27.0,9.3
722429,TX,30.067,-95.550,46,38.3,-3.0,31.0,0.0
722430,TX,30.000,-95.367,29,39.4,-6.1,26.1,0.0
722435,TX,29.650,-95.283,13,36.1,0.5,27.2,0.0
722436,TX,29.570,-95.090,6,35.6,-5.0,28.0,4.1
722445,TX,30.583,-96.367,96,41.0,-7.3,27.2,4.1
722446,TX,31.233,-94.750,86,36.7,-8.9,26.7,4.1
722448,TX,32.350,-95.400,166,42.2,-6.7,29.0,5.7
722470,TX,32.290,-94.980,146,42.0,-3.9,26.0,3.6
722480,LA,32.450,-93.817,77,38.9,-10.0,26.1,5.2
722484,LA,32.533,-93.750,55,38.9,-17.3,26.1,0.0
722485,LA,32.500,-93.667,54,36.1,-12.3,28.0,1.0
722486,LA,32.517,-92.033,40,38.0,-6.7,27.0,2.1
722487,LA,31.400,-92.300,34,41.1,-6.1,27.2,0.0
722499,TX,31.583,-94.717,108,43.0,-11.7,25.0,2.5
722500,TX,25.900,-97.433,6,37.8,-0.6,27.2,5.2
722505,TX,26.233,-97.650,10,39.2,2.0,27.0,4.2
722506,TX,26.310,-98.170,30,39.0,-1.7,33.0,1.5
722510,TX,27.880,-97.630,6,36.7,-3.3,26.8,2.6
722515,TX,27.683,-97.283,6,35.0,1.0,27.8,3.6
722516,TX,27.500,-97.817,17,43.0,-4.0,27.4,2.6
722517,TX,27.733,-98.033,53,43.0,-2.5,31.0,3.1
722520,TX,27.570,-99.490,142,41.0,-3.0,25.0,4.1
722523,TX,29.333,-98.467,176,39.0,-7.0,25.0,0.0
722524,TX,28.083,-97.050,8,34.0,0.8,30.8,1.3
722526,TX,28.450,-99.217,141,41.7,-5.5,28.0,2.4
722530,TX,29.533,-98.467,247,38.3,-6.7,26.1,3.1
722533,TX,29.367,-99.167,280,37.8,-5.6,26.1,2.6
722535,TX,29.383,-98.583,208,40.0,-13.9,26.1,3.6
722536,TX,29.533,-98.283,232,38.8,-7.8,25.6,2.1
722540,TX,30.290,-97.740,213,38.9,-3.9,26.0,0.0
722544,TX,30.317,-97.767,198,39.4,-9.4,25.6,2.1
722547,TX,30.683,-97.683,240,38.3,-10.6,23.8,4.6
722550,TX,28.867,-96.933,35,38.3,-5.6,26.1,8.8
722555,TX,28.717,-96.250,5,35.0,-3.9,26.7,4.6
722560,TX,31.617,-97.233,152,41.7,-10.0,26.1,5.2
722563,TX,31.483,-97.317,180,38.3,-15.6,24.4,0.0
722570,TX,31.133,-97.717,280,40.0,-5.4,26.1,1.0
722575,TX,31.083,-97.683,258,37.7,-10.2,23.9,5.1
722576,TX,31.067,-97.833,312,38.8,-10.6,24.4,6.2
722577,TX,31.150,-97.400,213,37.2,-11.2,24.4,4.6
722583,TX,32.850,-96.850,134,42.0,-6.7,33.0,0.0
722587,TX,33.633,-95.450,171,37.7,-15.0,25.1,3.1
722588,TX,33.067,-96.067,163,41.0,-9.2,30.0,5.1
722590,TX,32.900,-97.017,171,40.0,-11.7,26.7,6.2
722594,TX,32.983,-97.317,226,38.0,-12.0,25.0,5.7
722595,TX,32.767,-97.450,185,39.0,-9.6,29.0,8.2
722596,TX,32.817,-97.367,209,41.0,-8.4,25.0,2.1
722597,TX,32.783,-98.067,284,41.0,-6.2,25.0,0.0
722598,TX,32.967,-96.833,196,44.0,-12.7,26.1,2.8
722599,TX,32.683,-96.867,201,40.0,-11.4,25.0,3.6
722610,TX,29.380,-100.910,308,41.1,-2.2,25.0,2.5
722615,TX,29.367,-100.783,327,43.0,0.5,30.6,6.1
722630,TX,31.350,-100.500,584,38.3,-10.0,23.3,3.6
722650,TX,31.950,-102.183,872,39.4,-11.7,21.1,3.1
722656,TX,31.783,-103.200,856,43.9,-12.0,22.8,5.7
722660,TX,32.470,-99.710,530,41.1,-14.4,22.8,1.5
722670,TX,33.667,-101.817,992,38.3,-15.0,22.2,3.1
722687,NM,32.333,-104.267,985,41.1,-10.0,22.2,3.1
722740,AZ,32.133,-110.950,777,41.7,-3.3,22.2,1.5
722745,AZ,32.167,-110.883,809,42.0,-1.1,22.0,1.0
722747,AZ,32.817,-109.683,950,41.0,-6.0,21.0,0.0
722748,AZ,32.950,-111.767,446,44.0,-5.0,23.0,0.0
722780,AZ,33.450,-111.983,337,44.4,2.2,23.3,0.0
722784,AZ,33.683,-112.083,450,45.0,2.0,23.0,1.5
722785,AZ,33.550,-112.367,331,50.5,-2.0,26.0,4.6
722789,AZ,33.617,-111.917,460,46.0,3.0,23.0,0.0
722800,AZ,32.667,-114.600,63,46.0,3.0,30.0,2.6
722860,CA,33.900,-117.250,462,41.0,-6.0,22.0,1.5
722868,CA,33.833,-116.500,145,46.0,4.0,24.0,0.0
722869,CA,33.950,-117.450,256,43.4,-3.0,23.0,4.1
722880,CA,34.200,-118.350,226,38.0,1.0,22.0,0.4
722885,CA,34.017,-118.450,53,30.0,5.0,20.0,0.0
722886,CA,34.217,-118.483,235,41.1,3.0,29.0,0.0
722895,CA,34.667,-120.467,27,32.0,-9.5,18.2,1.5
722897,CA,35.233,-120.633,66,38.0,-1.0,16.1,0.0
722899,CA,33.967,-117.633,198,40.0,-3.0,19.0,3.1
722900,CA,32.733,-117.167,4,30.6,5.0,21.1,0.0
722903,CA,32.817,-117.133,129,37.0,3.0,20.0,0.0
722904,CA,32.583,-116.983,159,37.0,1.0,20.0,0.0
722906,CA,32.700,-117.200,15,28.3,4.0,23.3,0.0
722926,CA,33.300,-117.350,23,39.0,-3.0,25.0,3.6
722927,CA,33.133,-117.283,100,31.0,-6.7,20.0,1.5
722930,CA,32.867,-117.133,140,36.1,1.0,22.4,3.1
722950,CA,33.933,-118.400,30,32.2,5.6,20.6,1.5
722956,CA,33.917,-118.333,21,35.5,-6.2,20.0,1.5
722970,CA,33.833,-118.167,8,35.0,1.7,21.1,2.1
722976,CA,33.867,-117.983,29,39.0,4.0,23.0,2.1
722977,CA,33.683,-117.867,16,34.0,2.7,21.0,1.5
723013,NC,34.267,-77.900,9,36.7,-4.4,26.1,5.7
723030,NC,35.167,-79.017,66,37.2,-15.0,27.2,0.2
723035,NC,34.983,-78.883,59,36.0,-17.3,25.5,3.6
723040,NC,35.267,-75.550,3,32.8,-5.0,26.7,4.4
723046,NC,35.917,-75.700,4,36.1,-7.8,28.0,1.6
723060,NC,35.867,-78.783,127,36.7,-12.2,26.0,2.1
723065,NC,35.633,-77.400,8,34.4,-17.3,24.0,3.9
723066,NC,35.350,-77.967,33,37.2,-17.3,26.1,2.5
723067,NC,35.317,-77.633,29,37.4,-15.0,28.3,5.4
723068,NC,35.850,-77.900,50,37.0,-11.0,25.0,2.1
723069,NC,34.833,-77.617,29,36.7,-15.0,29.8,0.0
723075,VA,36.817,-76.033,8,36.1,-10.0,26.7,4.6
723080,VA,36.900,-76.200,7,36.7,-7.8,26.1,3.1
723083,VA,36.700,-76.900,12,38.0,-10.4,29.6,0.0
723085,VA,36.950,-76.283,10,36.7,-8.0,27.2,9.8
723086,VA,37.133,-76.500,13,36.6,-9.7,29.0,7.2
723090,NC,34.900,-76.883,11,36.7,-11.7,28.3,4.1
723095,NC,35.067,-77.050,5,38.0,-8.0,27.2,3.7
723096,NC,34.700,-77.383,5,42.1,-12.8,27.0,0.0
723100,SC,33.950,-81.117,65,39.4,-8.9,25.0,2.1
723106,SC,34.183,-79.733,44,36.1,-9.0,27.0,0.0
723110,GA,33.950,-83.333,244,35.6,-10.0,23.9,3.4
723119,SC,34.850,-82.350,319,35.6,-15.0,25.0,0.0
723120,SC,34.900,-82.217,292,35.6,-8.9,24.4,2.1
723125,SC,34.500,-82.717,232,38.8,-12.8,26.0,0.0
723140,NC,35.217,-80.950,222,35.6,-7.2,26.1,3.1
723143,NC,35.233,-79.400,141,34.5,-16.7,25.0,2.9
723145,NC,35.733,-81.383,348,35.0,-11.7,24.0,1.5
723150,NC,35.433,-82.533,652,35.6,-11.7,23.3,2.9
723170,NC,36.100,-79.950,273,35.6,-16.7,25.0,2.6
723183,TN,36.467,-82.400,457,33.9,-17.2,22.2,0.5
723193,NC,36.133,-80.217,296,35.0,-12.0,27.0,2.1
723200,GA,34.350,-85.167,195,39.0,-9.5,24.0,1.5
723230,AL,34.650,-86.783,190,38.3,-17.2,25.6,4.6
723235,AL,34.750,-87.600,165,37.0,-17.3,27.0,2.6
723240,TN,35.033,-85.200,204,36.7,-8.9,24.4,0.0
723260,TN,35.817,-83.983,293,38.3,-14.4,25.6,2.6
723265,TN,35.950,-85.083,569,31.7,-12.0,23.3,0.0
723270,TN,36.117,-86.683,177,36.7,-14.4,24.4,4.1
723300,MO,36.767,-90.467,146,37.0,-16.0,27.0,0.0
723306,MS,33.650,-88.450,68,37.0,-14.5,26.7,2.1
723307,MS,33.450,-88.583,80,38.3,-14.5,25.0,3.6
723320,MS,34.267,-88.767,110,38.9,-10.0,26.1,1.5
723340,TN,35.067,-89.983,81,38.3,-11.7,25.6,3.1
723346,TN,35.600,-88.917,132,35.0,-18.0,27.0,2.6
723347,TN,36.017,-89.400,103,37.1,-16.7,25.6,0.0
723403,AR,34.750,-92.233,78,40.0,-16.1,26.7,3.1
723405,AR,34.917,-92.150,103,37.8,-16.2,27.2,2.6
723406,AR,36.133,-90.917,83,36.3,-14.0,26.0,2.1
723407,AR,35.833,-90.650,82,37.0,-14.0,27.0,3.6
723415,AR,34.467,-93.100,169,37.0,-11.0,26.0,3.6
723416,AR,34.600,-91.567,68,37.0,-7.5,27.1,3.6
723417,AR,34.167,-91.933,63,41.1,-9.5,27.0,1.5
723418,AR,33.450,-94.000,110,40.0,-6.6,26.0,1.5
723419,AR,33.217,-92.817,77,44.0,-8.9,27.8,0.0
723434,AR,36.183,-94.117,412,38.0,-14.8,25.1,4.6
723440,AR,35.333,-94.367,137,38.9,-16.7,25.0,3.6
723443,AR,36.183,-94.483,364,39.0,-14.0,23.0,4.6
723444,AR,36.350,-94.217,395,35.8,-15.0,33.5,4.1
723445,AR,36.000,-94.167,381,39.0,-22.3,26.0,2.1
723446,AR,36.267,-93.150,419,39.0,-14.0,25.5,4.6
723447,AR,36.300,-92.467,350,41.0,-12.0,25.7,1.5
723448,AR,35.733,-91.650,141,37.0,-17.3,24.4,2.1
723449,AR,36.367,-94.100,415,38.0,-21.2,26.0,0.0
723489,MO,37.233,-89.567,103,36.1,-22.3,26.1,2.0
723495,MO,37.150,-94.500,297,40.6,-18.4,24.4,2.1
723510,TX,33.983,-98.500,314,41.1,-12.8,23.9,5.7
723520,OK,34.650,-99.267,414,45.0,-13.0,29.0,1.5
723525,OK,35.000,-99.050,478,41.1,-15.6,23.3,7.2
723526,OK,35.333,-99.200,586,42.0,-14.7,24.0,3.4
723527,OK,36.300,-99.767,668,41.1,-20.0,28.3,7.7
723530,OK,35.383,-97.600,398,38.9,-17.8,23.9,3.6
723535,OK,36.333,-97.917,408,41.0,-16.0,24.4,0.0
723540,OK,35.417,-97.383,384,38.3,-13.0,23.9,5.6
723544,OK,35.533,-97.650,396,41.0,-13.0,24.0,5.1
723545,OK,36.150,-97.083,308,43.0,-14.0,24.0,5.1
723546,OK,36.610,-97.490,318,46.0,-16.7,29.0,2.1
723550,OK,34.650,-98.400,369,44.4,-12.0,25.0,3.1
723560,OK,36.200,-95.883,198,41.1,-15.6,26.1,8.2
723565,OK,36.767,-96.017,218,37.0,-21.0,24.0,0.0
723566,OK,34.900,-95.783,232,38.8,-16.7,26.0,4.1
723575,OK,34.567,-98.417,338,39.4,-12.0,24.0,0.0
723604,TX,34.433,-100.283,595,40.0,-15.0,23.9,4.1
723805,CA,34.767,-114.617,279,46.3,0.6,22.4,2.5
723810,CA,34.900,-117.867,706,42.2,-9.0,22.0,2.9
723815,CA,34.850,-116.800,586,46.7,-5.0,21.1,3.6
723816,CA,34.733,-118.217,713,41.1,-10.0,20.0,4.1
723820,CA,34.633,-118.083,769,41.0,-6.0,26.0,0.0
723840,CA,35.433,-119.050,149,42.2,-0.6,19.4,1.5
723860,NV,36.083,-115.150,648,44.4,-3.3,20.6,2.6
723865,NV,36.250,-115.033,573,47.0,-5.5,22.0,2.1
