station_id,state,latitude,longitude,elevation,t_max,t_min,t_dew_max,t_dew_min
725497,IA,41.267,-95.767,382,36.0,-22.0,30.0,2.1
725500,NE,41.317,-95.900,299,38.9,-23.9,25.6,2.0
725510,NE,40.833,-96.767,357,38.9,-23.3,25.0,2.6
725515,NE,40.300,-96.750,403,40.0,-22.0,25.8,6.2
725520,NE,40.967,-98.317,561,39.4,-25.6,25.6,7.2
725524,NE,41.617,-98.950,631,37.0,-25.6,25.5,4.0
725525,NE,40.600,-98.433,596,39.0,-22.0,26.0,3.6
725526,NE,40.733,-99.000,649,38.8,-27.3,25.9,3.8
725527,NE,41.767,-96.167,312,38.0,-26.0,27.0,5.1
725530,NE,41.367,-96.017,399,37.2,-22.2,26.1,9.8
725533,NE,40.083,-95.600,300,38.0,-23.9,26.0,3.9
725540,NE,41.117,-95.917,319,35.6,-23.0,27.2,3.1
725555,NE,41.433,-99.650,776,37.2,-28.9,25.0,4.1
725556,NE,42.583,-100.000,789,38.0,-29.5,24.5,3.6
725560,NE,41.983,-97.433,472,39.4,-28.9,24.3,8.2
725564,NE,41.450,-96.517,379,36.0,-25.0,26.0,2.6
725565,NE,41.450,-97.333,451,37.0,-28.0,25.0,3.6
725566,NE,42.467,-98.683,619,40.0,-28.9,26.0,2.1
725570,IA,42.383,-96.383,333,38.9,-27.2,23.9,10.3
725620,NE,41.117,-100.667,847,38.3,-25.0,22.2,6.2
725625,NE,40.200,-100.583,786,40.6,-22.0,24.0,5.1
725626,NE,40.517,-101.617,998,40.0,-20.0,25.0,2.6
725628,NE,40.450,-99.333,704,38.3,-24.0,26.8,3.1
725670,NE,42.867,-100.550,789,41.7,-25.0,22.2,2.6
725905,CA,39.133,-123.200,189,41.0,-4.0,17.0,1.4
725910,CA,40.150,-122.250,106,45.0,-1.7,20.0,5.1
725920,CA,40.517,-122.317,153,41.7,-2.8,19.0,4.1
725945,CA,40.983,-124.100,62,26.1,-3.3,17.2,4.1
725946,CA,41.783,-124.233,17,21.0,1.0,16.0,1.5
725955,CA,41.783,-122.467,803,38.0,-11.0,15.0,3.6
725970,OR,42.190,-122.700,595,38.9,-9.4,18.3,2.1
726050,NH,43.200,-71.500,106,33.3,-23.3,23.9,2.1
726055,NH,43.083,-70.817,31,35.6,-23.4,26.1,1.5
726060,ME,43.650,-70.300,14,34.4,-23.9,24.4,4.6
726064,ME,43.400,-70.717,74,35.1,-31.7,22.0,1.4
726073,ME,44.533,-69.683,101,37.0,-24.5,22.7,1.2
726077,ME,44.450,-68.367,26,28.8,-25.6,20.0,4.4
726079,ME,44.067,-69.100,17,31.4,-21.7,21.6,0.0
726083,ME,47.283,-68.317,309,31.0,-26.0,22.0,5.7
726088,ME,44.800,-68.817,56,35.0,-28.9,23.3,0.0
726115,VT,43.350,-72.517,176,32.0,-26.0,24.0,2.6
726116,NH,43.633,-72.300,182,34.0,-28.0,24.0,2.7
726145,VT,44.200,-72.567,343,32.8,-27.3,21.0,0.0
726155,NH,43.567,-71.417,166,34.4,-22.8,23.3,4.1
726160,NH,44.583,-71.183,353,32.0,-27.0,22.0,0.0
726165,NH,42.900,-72.267,153,36.8,-25.1,22.0,2.6
726170,VT,44.467,-73.150,101,37.2,-27.8,23.9,1.0
726184,ME,44.050,-70.283,88,33.8,-27.8,23.0,0.0
726185,ME,44.317,-69.800,107,34.1,-26.7,22.8,6.2
726196,ME,45.650,-68.683,124,35.4,-27.0,26.0,2.1
726223,NY,44.933,-74.850,65,34.4,-31.1,25.6,5.2
726227,NY,44.000,-76.017,97,32.0,-28.0,23.3,2.6
726228,NY,44.383,-74.200,520,32.7,-33.2,23.3,3.1
726350,MI,42.883,-85.517,242,33.9,-26.1,23.9,5.2
726355,MI,42.133,-86.433,196,38.3,-20.0,26.1,0.0
726357,MI,42.233,-85.550,273,35.0,-22.3,24.0,2.6
726360,MI,43.167,-86.233,190,32.8,-18.9,25.0,6.7
726370,MI,42.967,-83.750,234,33.9,-22.8,24.4,6.2
726375,MI,42.667,-83.417,306,36.0,-19.0,25.0,5.1
726379,MI,43.533,-84.083,201,32.7,-23.0,26.1,3.1
726380,MI,44.367,-84.683,351,31.1,-28.9,23.9,4.4
726384,MI,44.283,-85.417,396,39.5,-28.0,25.2,5.3
726385,MI,44.267,-86.250,189,34.0,-19.0,26.0,2.0
726387,MI,44.733,-85.583,188,34.4,-23.3,25.0,3.4
726390,MI,45.067,-83.583,210,32.8,-23.9,23.3,5.5
726395,MI,44.450,-83.400,188,37.0,-24.0,25.0,6.4
726400,WI,42.950,-87.900,205,36.7,-24.4,25.6,9.3
726404,WI,45.933,-89.733,496,34.9,-31.0,26.8,5.0
726410,WI,43.130,-89.330,262,34.4,-33.3,26.1,7.2
726415,WI,42.617,-89.033,246,31.0,-21.0,24.0,2.7
726416,WI,43.200,-90.183,219,35.0,-26.0,26.0,1.5
726430,WI,43.867,-91.250,198,35.6,-32.8,27.8,7.2
726435,WI,44.867,-91.483,271,38.3,-32.2,26.7,5.2
726440,MN,43.900,-92.500,398,33.9,-36.7,25.6,2.6
726450,WI,44.483,-88.133,209,34.4,-27.2,26.7,7.7
726455,WI,44.133,-87.683,198,33.8,-28.4,26.9,5.9
726456,WI,43.983,-88.550,253,33.8,-28.0,26.0,3.1
726457,WI,44.250,-88.517,280,33.3,-21.0,27.2,4.8
726458,WI,44.850,-87.417,221,32.0,-21.0,24.0,7.5
726463,WI,44.917,-89.633,366,35.0,-25.6,26.7,1.5
726464,WI,43.167,-88.717,254,34.2,-20.3,28.0,7.2
726465,WI,44.783,-89.667,389,32.0,-34.5,24.0,2.8
726467,WI,45.483,-91.717,347,33.0,-30.0,27.0,3.0
726468,WI,45.700,-90.400,449,31.0,-33.0,22.1,0.0
726480,MI,45.750,-87.033,187,30.8,-37.8,22.8,3.6
726487,MI,45.133,-87.633,191,35.8,-28.0,23.0,3.3
726498,IA,41.050,-91.983,244,37.2,-23.0,29.0,4.4
726499,IA,43.400,-94.750,401,38.3,-27.0,25.0,6.2
726500,IA,43.167,-95.150,408,37.0,-30.0,26.0,6.2
726510,SD,43.583,-96.750,433,35.6,-30.0,25.6,0.0
726515,SD,44.300,-96.817,502,34.2,-26.0,24.0,6.2
726525,SD,42.917,-97.383,408,39.0,-30.6,26.0,4.1
726540,SD,44.400,-98.217,390,40.6,-31.7,25.0,3.1
726544,MN,48.017,-92.867,397,34.0,-41.7,23.8,0.0
726545,SD,43.767,-98.033,397,43.0,-33.4,26.0,4.1
726546,SD,44.933,-97.150,532,35.6,-37.3,24.0,4.6
726547,MN,45.650,-95.317,425,40.7,-30.2,27.0,6.5
726550,MN,45.550,-94.050,311,34.4,-33.9,24.4,3.1
726555,MN,46.400,-94.133,374,34.4,-43.9,24.0,0.0
726556,MN,44.550,-95.083,312,36.1,-29.0,26.0,7.7
726557,MN,45.883,-95.400,433,35.0,-38.4,26.1,2.6
726558,MN,46.700,-92.500,390,32.0,-32.0,28.7,3.1
726559,MN,44.450,-95.817,359,34.0,-30.4,25.5,2.6
726560,MN,46.283,-96.150,361,38.3,-28.4,29.2,11.8
726563,MN,44.333,-93.317,322,33.8,-29.0,27.6,2.6
726564,MN,44.583,-92.483,239,35.0,-46.0,27.0,1.5
726565,MN,45.567,-95.967,344,33.0,-27.8,27.0,3.1
726566,MN,43.983,-96.317,529,34.9,-36.2,27.0,6.2
726567,MN,44.317,-94.500,308,39.4,-25.0,27.7,3.6
726568,MN,44.117,-93.250,350,34.0,-36.7,26.0,3.1
726569,MN,44.867,-94.383,323,37.5,-30.0,28.2,3.6
726574,WI,44.633,-90.183,389,33.0,-26.0,22.0,0.0
726575,MN,45.067,-93.350,265,34.0,-28.0,25.0,3.8
726576,MN,45.117,-95.083,345,35.0,-32.2,27.1,4.6
726578,MN,45.950,-94.350,342,36.1,-34.2,26.8,4.1
726579,MN,44.817,-93.450,283,36.0,-27.0,27.0,5.1
726580,MN,44.883,-93.233,254,37.2,-31.1,25.6,2.6
726583,MN,45.100,-94.500,347,34.4,-37.3,26.1,4.0
726584,MN,44.933,-93.050,220,36.0,-33.4,26.0,5.1
726585,MN,44.217,-93.917,311,35.6,-26.8,30.4,1.5
726586,MN,43.650,-94.417,354,34.0,-24.0,26.0,3.1
726587,MN,43.650,-95.583,480,34.0,-31.2,24.0,1.5
726588,MN,44.083,-91.700,200,56.0,-31.0,27.9,1.7
726589,MN,43.683,-93.367,383,34.4,-23.4,27.8,3.1
726590,SD,45.450,-98.417,398,38.3,-37.0,25.6,3.1
726603,MN,44.850,-93.150,250,35.0,-29.0,27.0,1.5
726620,SD,44.050,-103.050,963,38.3,-27.8,20.6,4.1
726625,SD,44.150,-103.100,980,40.0,-26.0,20.0,1.0
726626,WI,45.150,-87.150,464,41.4,-31.0,29.0,5.7
726676,MT,47.133,-104.800,749,40.0,-32.8,21.9,9.7
726685,SD,45.533,-100.433,508,39.0,-30.4,26.0,4.7
726686,SD,44.383,-100.283,528,40.6,-34.4,23.3,3.1
726810,ID,43.620,-116.210,701,38.3,-16.1,16.7,0.0
726813,ID,43.633,-116.633,740,37.7,-16.0,17.2,7.7
726815,ID,43.050,-115.867,912,40.0,-21.1,16.0,3.6
726835,OR,44.250,-121.167,933,38.0,-18.3,16.7,0.0
726880,OR,45.700,-118.833,452,37.2,-12.2,14.4,2.1
726884,OR,45.283,-118.000,827,37.0,-12.8,17.9,6.0
726904,OR,43.233,-123.350,160,37.0,-2.3,19.0,0.0
726917,OR,43.417,-124.250,2,26.7,-2.8,15.6,3.6
726930,OR,44.050,-123.070,109,42.2,-6.7,18.3,7.7
726940,OR,44.900,-123.000,60,38.9,-10.6,16.7,2.6
726945,OR,44.483,-123.283,77,36.0,-4.0,20.2,0.0
726959,OR,45.250,-122.767,60,36.0,-3.0,19.0,0.0
726980,OR,45.600,-122.617,6,37.8,-4.4,20.0,3.1
726985,OR,45.550,-122.400,11,41.0,-3.0,18.0,11.8
726986,OR,45.533,-122.950,62,45.6,-4.0,24.0,2.1
726988,WA,45.617,-121.150,73,40.6,-5.7,18.0,2.1
727033,ME,46.117,-67.800,150,32.8,-31.1,21.7,2.6
727120,ME,46.867,-68.033,190,32.8,-31.1,22.2,5.4
727130,ME,46.683,-68.050,163,33.1,-32.3,22.0,0.0
727135,ME,43.967,-69.717,21,35.0,-24.5,24.0,2.6
727340,MI,46.467,-84.350,219,32.8,-26.7,22.8,5.9
727344,MI,46.250,-84.467,250,29.4,-35.4,27.3,4.1
727347,MI,45.567,-84.783,218,35.5,-23.2,25.0,1.5
727415,WI,45.633,-89.467,507,37.7,-31.0,26.6,0.0
727437,MI,45.817,-88.117,360,33.0,-28.8,24.4,3.6
727440,MI,47.167,-88.500,327,36.6,-23.0,23.3,0.0
727444,MN,47.050,-91.750,328,36.8,-28.0,24.9,1.8
727445,MI,46.533,-90.133,375,34.0,-29.0,23.0,3.6
727450,MN,46.833,-92.217,433,32.8,-30.6,23.3,5.2
727452,MN,47.850,-96.617,273,35.0,-28.9,23.9,2.6
727453,MN,46.900,-95.067,437,33.8,-33.0,25.0,2.1
727455,MN,47.383,-92.850,411,33.3,-41.0,25.0,4.2
727457,MN,46.833,-95.883,426,34.4,-29.0,23.0,4.1
727458,MN,47.217,-93.517,413,33.8,-33.0,22.0,1.5
727459,MN,47.817,-91.833,455,32.2,-43.4,29.0,1.5
727470,MN,48.567,-93.400,359,35.0,-35.6,23.9,7.2
727473,MN,46.267,-92.567,350,34.1,-36.2,25.6,4.1
727474,MN,47.400,-92.500,421,37.1,-34.0,26.1,0.4
727475,MN,45.883,-93.267,309,34.0,-32.8,25.5,2.1
727476,MN,48.717,-94.600,330,31.0,-30.0,21.0,4.1
727477,MN,48.850,-95.700,323,31.9,-32.8,24.3,2.1
727478,MN,48.783,-96.950,250,34.8,-32.3,26.0,5.1
727503,MN,45.567,-93.267,287,34.0,-34.5,26.0,3.1
727504,MN,46.550,-93.683,367,32.0,-40.6,26.0,0.0
727505,MN,47.583,-95.767,388,32.0,-32.3,23.7,7.0
727507,MN,45.317,-95.650,317,38.0,-37.7,28.0,6.2
727530,ND,46.933,-96.817,274,33.3,-32.2,22.8,0.0
727533,MN,45.700,-96.500,313,38.7,-28.4,33.5,4.6
727535,ND,46.917,-98.683,455,36.1,-33.9,27.5,5.7
727550,MN,47.500,-94.933,420,32.9,-33.0,21.0,1.7
727555,MN,48.067,-96.183,340,33.0,-31.0,24.0,1.7
727556,MN,47.200,-91.400,331,30.0,-32.3,22.0,2.3
727566,MN,43.667,-92.933,375,34.0,-26.0,27.2,5.9
727573,ND,48.117,-98.917,443,33.0,-32.0,22.0,2.9
727575,ND,47.967,-97.400,276,35.0,-26.7,25.0,9.3
727576,ND,47.950,-97.183,256,35.6,-32.0,25.0,3.1
727640,ND,46.770,-100.770,502,37.8,-31.1,22.2,2.6
727645,ND,46.800,-102.800,788,39.4,-33.9,23.9,7.7
727670,ND,48.200,-103.650,580,40.0,-32.8,23.3,5.2
727675,ND,48.417,-101.350,497,36.7,-31.0,24.4,6.7
727676,ND,48.267,-101.283,523,40.6,-28.8,22.2,4.6
727680,MT,48.217,-106.617,699,37.2,-32.8,18.3,3.1
727686,MT,48.310,-105.100,634,35.0,-33.0,20.0,1.5
727687,MT,47.700,-104.200,605,38.0,-37.3,23.2,0.0
727730,MT,46.917,-114.100,973,36.1,-15.0,15.6,5.7
727770,MT,48.550,-109.767,788,38.9,-34.5,26.1,7.2
727790,MT,48.317,-114.250,906,33.9,-22.2,15.7,4.1
727810,WA,46.567,-120.550,324,37.8,-19.4,17.2,3.4
727825,WA,47.400,-120.200,379,37.2,-11.1,16.7,2.1
727826,WA,47.300,-119.517,384,41.1,-23.9,15.0,2.1
727827,WA,47.200,-119.317,364,41.0,-10.0,18.0,3.4
727830,ID,46.367,-117.017,438,40.0,-10.6,18.9,0.0
727834,ID,47.767,-116.817,707,38.0,-19.4,19.0,0.0
727840,WA,46.567,-119.600,223,40.0,-26.1,16.0,2.3
727845,WA,46.267,-119.117,136,39.0,-10.0,21.0,2.1
727846,WA,46.100,-118.283,355,41.0,-5.0,17.0,3.1
727850,WA,47.490,-117.589,777,36.1,-16.7,15.0,2.2
727855,WA,47.633,-117.650,743,38.0,-19.0,17.0,6.2
727856,WA,47.683,-117.317,610,38.0,-11.0,26.0,0.0
727857,WA,46.750,-117.117,778,37.0,-16.0,22.7,4.6
727885,WA,48.117,-123.500,91,30.0,-6.0,19.0,3.1
727910,OR,46.150,-123.883,3,35.0,-4.4,21.1,2.8
727920,WA,46.967,-122.900,63,35.6,-8.9,17.8,6.2
727923,WA,46.983,-123.933,4,31.0,-6.7,18.9,0.0
727924,WA,46.133,-122.900,5,34.0,-6.2,18.2,5.1
727926,WA,46.483,-122.800,113,35.0,-11.2,20.0,3.6
727928,WA,47.483,-122.750,137,32.9,-7.0,18.8,1.5
727930,WA,47.467,-122.317,122,31.8,-5.6,16.4,2.6
727934,WA,47.483,-122.217,10,32.0,-4.0,18.0,3.6
727935,WA,47.680,-122.250,20,32.0,-7.0,19.0,7.2
727937,WA,47.900,-122.283,189,29.0,-2.0,17.0,5.1
727938,WA,47.267,-122.583,91,33.0,0.0,17.0,8.2
727970,WA,47.933,-124.567,55,32.8,-4.4,17.2,2.1
727976,WA,48.800,-122.533,45,28.0,-7.0,18.0,7.7
742060,WA,47.150,-122.483,88,36.7,-11.7,20.0,2.5
742070,WA,47.083,-122.583,90,36.1,-15.0,16.6,3.9
742300,MT,46.433,-105.883,801,40.6,-28.9,20.0,4.4
743700,NY,44.050,-75.717,211,34.4,-23.9,23.9,2.6
743920,ME,43.900,-69.933,21,33.0,-25.6,23.0,4.6
743945,NH,42.933,-71.433,69,37.2,-23.4,23.3,3.6
744655,IL,41.767,-88.467,215,38.0,-25.0,25.0,2.4
744860,NY,40.650,-73.800,5,36.7,-13.9,25.0,9.3
744864,NY,40.717,-73.417,26,37.0,-12.6,24.0,6.2
744865,NY,40.850,-72.633,20,33.0,-16.4,24.0,0.0
744904,MA,42.717,-71.117,46,33.0,-21.0,24.0,5.8
744910,MA,42.200,-72.533,75,38.3,-22.0,25.6,7.3
744915,MA,42.150,-72.717,83,34.0,-29.5,25.5,4.2
745090,CA,37.400,-122.050,12,36.0,1.0,19.0,2.3
745160,CA,38.267,-121.933,18,41.0,-4.0,17.0,3.1
745700,OH,39.833,-84.050,250,36.1,-21.2,24.4,3.1
745940,MD,38.817,-76.867,86,37.8,-18.9,28.9,2.1
745966,NJ,39.000,-74.917,7,36.0,-7.7,28.5,3.6
745980,VA,37.083,-76.350,3,36.7,-13.4,26.1,2.4
745985,VA,36.633,-80.017,287,37.2,-22.8,26.0,0.0
746120,CA,35.683,-117.683,677,46.1,-9.4,14.6,5.2
746710,KY,36.667,-87.483,173,36.7,-22.3,26.1,3.1
746716,KY,36.983,-86.433,161,36.1,-23.4,26.0,1.5
746930,NC,35.133,-78.933,93,37.8,-15.6,26.7,1.0
746943,NC,36.300,-76.250,4,35.6,-9.0,27.2,4.4
747020,CA,36.333,-119.950,73,42.0,-4.0,26.0,3.1
747185,CA,32.833,-115.583,-17,46.0,1.0,30.0,6.2
747187,CA,33.633,-116.167,-34,48.0,-3.0,27.0,0.0
747188,CA,33.617,-114.717,119,47.0,1.1,26.2,3.1
747540,LA,31.317,-92.550,27,36.1,-7.0,27.0,0.0
747685,MS,30.400,-89.067,9,38.0,-4.1,27.0,0.5
747686,MS,30.417,-88.917,8,36.7,-17.3,27.2,0.0
747750,FL,30.067,-85.583,7,33.9,-9.5,26.1,3.6
747770,FL,30.417,-86.683,12,36.1,-9.5,28.8,0.0
747804,GA,32.000,-81.150,13,36.7,-8.4,27.2,2.6
747810,GA,30.967,-83.200,71,36.1,-24.4,29.4,1.0
747880,FL,27.850,-82.517,8,36.4,-3.4,28.0,2.1
747900,SC,33.967,-80.467,74,36.1,-11.7,25.6,0.5
747910,SC,33.683,-78.933,8,35.0,-7.2,28.0,8.7
747915,SC,33.817,-78.717,10,35.0,-7.0,27.5,1.5
747946,FL,28.617,-80.717,3,35.0,-2.0,27.0,3.9
